,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïΩãœ,ç≈ïpíl,íÜâõíl,ïWèÄïŒç∑
1.45387E+12,blue,yellow,0.072131519,12.26235828,blue,cyan,0.050770975,8.63106576,blue,magenta,0.043786848,7.443764172,yellow,blue,0.072131519,12.26235828,yellow,cyan,0.04154195,7.062131519,yellow,magenta,0.040453515,6.877097506,cyan,blue,0.050770975,8.63106576,cyan,yellow,0.04154195,7.062131519,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.043786848,7.443764172,magenta,yellow,0.040453515,6.877097506,magenta,cyan,0.02877551,4.891836735,2.65172174,1.643754099,1.068528363,11.74110685,9.220935321,4.804230472,8.961003014,7.449814367,4.675959981,,,,,
1.45387E+12,blue,yellow,0.04861678,8.264852608,blue,cyan,0.046507937,7.906349206,blue,magenta,0.039501134,6.715192744,yellow,blue,0.04861678,8.264852608,yellow,cyan,0.046326531,7.875510204,yellow,magenta,0.049365079,8.392063492,cyan,blue,0.046507937,7.906349206,cyan,yellow,0.046326531,7.875510204,cyan,magenta,0.028752834,4.887981859,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.049365079,8.392063492,magenta,cyan,0.028752834,4.887981859,33.44867758,0.575777437,6.257794261,11.32262036,5.082736433,6.382750329,10.40118005,5.03956876,4.780879005,,,,,
1.45387E+12,blue,yellow,0.070022676,11.90385488,blue,cyan,0.037256236,6.333560091,blue,magenta,0.039569161,6.72675737,yellow,blue,0.070022676,11.90385488,yellow,cyan,0.033424036,5.682086168,yellow,magenta,0.040544218,6.892517007,cyan,blue,0.037256236,6.333560091,cyan,yellow,0.033424036,5.682086168,cyan,magenta,0.028027211,4.76462585,magenta,blue,0.039569161,6.72675737,magenta,yellow,0.040544218,6.892517007,magenta,cyan,0.028027211,4.76462585,0.023726382,0.507686165,-1.232192825,8.324115575,7.652517736,3.655774482,4.324477294,6.916335618,0.881229542,,,,,
1.45387E+12,blue,yellow,0.067891156,11.5414966,blue,cyan,0.046485261,7.902494331,blue,magenta,0.034648526,5.890249433,yellow,blue,0.067891156,11.5414966,yellow,cyan,0.040839002,6.942630385,yellow,magenta,0.04952381,8.419047619,cyan,blue,0.046485261,7.902494331,cyan,yellow,0.040839002,6.942630385,cyan,magenta,0.023786848,4.043764172,magenta,blue,0.034648526,5.890249433,magenta,yellow,0.04952381,8.419047619,magenta,cyan,0.023786848,4.043764172,2.352818905,7.765938402,8.857076114,2.531424282,-1.239289437,0.182548303,5.052262232,2.493334987,7.542196315,,,,,
1.45387E+12,blue,yellow,0.076031746,12.92539683,blue,cyan,0.045918367,7.806122449,blue,magenta,0.039478458,6.711337868,yellow,blue,0.076031746,12.92539683,yellow,cyan,0.046326531,7.875510204,yellow,magenta,0.049319728,8.384353741,cyan,blue,0.045918367,7.806122449,cyan,yellow,0.046326531,7.875510204,cyan,magenta,0.028843537,4.903401361,magenta,blue,0.039478458,6.711337868,magenta,yellow,0.049319728,8.384353741,magenta,cyan,0.028843537,4.903401361,2.39654814,12.97140347,4.305519935,-0.568567672,2.622674599,6.661826332,0.268075155,6.815678778,5.4232652,,,,,
1.45387E+12,blue,yellow,0.061678005,10.48526077,blue,cyan,0.046371882,7.883219955,blue,magenta,0.039501134,6.715192744,yellow,blue,0.061678005,10.48526077,yellow,cyan,0.04185941,7.116099773,yellow,magenta,0.039433107,6.703628118,cyan,blue,0.046371882,7.883219955,cyan,yellow,0.04185941,7.116099773,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039501134,6.715192744,magenta,yellow,0.039433107,6.703628118,magenta,cyan,0.02877551,4.891836735,5.734398488,4.334303638,10.46288991,4.111755457,-1.046414188,8.836477566,4.132817635,3.841813287,4.703195194,,,,,
1.45387E+12,blue,yellow,0.067687075,11.50680272,blue,cyan,0.046417234,7.890929705,blue,magenta,0.060566893,10.29637188,yellow,blue,0.067687075,11.50680272,yellow,cyan,0.041678005,7.085260771,yellow,magenta,0.045079365,7.663492063,cyan,blue,0.046417234,7.890929705,cyan,yellow,0.041678005,7.085260771,cyan,magenta,0.028843537,4.903401361,magenta,blue,0.060566893,10.29637188,magenta,yellow,0.045079365,7.663492063,magenta,cyan,0.028843537,4.903401361,3.789834529,2.914837014,12.30590682,1.479281325,0.672444626,5.765896757,5.84555093,8.955032406,3.171860181,,,,,
1.45387E+12,blue,yellow,0.074716553,12.70181406,blue,cyan,0.045873016,7.798412698,blue,magenta,0.034829932,5.921088435,yellow,blue,0.074716553,12.70181406,yellow,cyan,0.03244898,5.516326531,yellow,magenta,0.049433107,8.403628118,cyan,blue,0.045873016,7.798412698,cyan,yellow,0.03244898,5.516326531,cyan,magenta,0.028730159,4.884126984,magenta,blue,0.034829932,5.921088435,magenta,yellow,0.049433107,8.403628118,magenta,cyan,0.028730159,4.884126984,0.11136758,9.101487219,11.03026537,5.451682838,-1.286316397,8.056674478,3.438382127,4.730169274,7.058057336,,,,,
1.45387E+12,blue,yellow,0.075124717,12.77120181,blue,cyan,0.035578231,6.04829932,blue,magenta,0.039569161,6.72675737,yellow,blue,0.075124717,12.77120181,yellow,cyan,0.041746032,7.096825397,yellow,magenta,0.036122449,6.140816327,cyan,blue,0.035578231,6.04829932,cyan,yellow,0.041746032,7.096825397,cyan,magenta,0.02877551,4.891836735,magenta,blue,0.039569161,6.72675737,magenta,yellow,0.036122449,6.140816327,magenta,cyan,0.02877551,4.891836735,0.420716778,11.27607284,2.37785824,0.003048731,7.705387745,5.087640441,2.525803938,6.280683671,7.150832034,,,,,
1.45387E+12,blue,yellow,0.074829932,12.72108844,blue,cyan,0.046485261,7.902494331,blue,magenta,0.03952381,6.719047619,yellow,blue,0.074829932,12.72108844,yellow,cyan,0.041814059,7.108390023,yellow,magenta,0.031473923,5.350566893,cyan,blue,0.046485261,7.902494331,cyan,yellow,0.041814059,7.108390023,cyan,magenta,0.028820862,4.899546485,magenta,blue,0.03952381,6.719047619,magenta,yellow,0.031473923,5.350566893,magenta,cyan,0.028820862,4.899546485,0.348427823,1.928540653,-1.2104124,9.656855517,8.567435985,2.759181691,6.685632246,6.694885952,3.842687605,,,,,
